,cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,ntrcdsm,cd3less,cd3t12s,cd1t3s,cdov3s,ntrtmlg,cd3les,cd3t12,cd1t3,cdov3
0,4829,0,746223,2706726.0,1880 BANK,Cambridge,MD,21613,12/31/2016,8/17/2020,SM,304 High St.,DELMARVA BANCSHARES INC,6,0,0,4,0,Dorchester,,,1/1/1880,1/1/1934,7/16/2015,Stock,0,1,FED,DIF,New York,NEW YORK,Baltimore,Richmond,Northeastern,Southeast,0,1,www.1880bank.com,33455.0,5541.0,11071.0,9259.0,7584.0,38943,4945.0,17570.0,5819.0,10609.0
1,57899,0,3317192,4526496.0,1ST ADVANTAGE BANK,Saint Peters,MO,63376,12/31/2016,8/17/2020,NM,240 Salt Lick Rd.,BANC INVESTORS LLC,1,0,0,4,0,Saint Charles,41180.0,"St. Louis, MO-IL",1/31/2005,1/31/2005,9/10/2010,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,St. Louis,St. louis,Western,West,0,1,www.1stadvantagebank.com,9191.0,914.0,4999.0,3121.0,157.0,35180,3480.0,21673.0,8543.0,1484.0
2,22039,0,564856,1128415.0,1ST BANK,Broadus,MT,59317,12/31/2016,8/17/2020,SM,201 N. Wilbur Ave,1ST UNITED BCORP INC,1,0,0,2,1,Powder River,,,6/9/1975,6/9/1975,9/20/2014,Stock,0,0,FED,DIF,San Francisco,SAN FRANCISCO,Billings,Minneapolis,Western,West,0,1,www.our1stbank.com,4136.0,1084.0,2038.0,838.0,176.0,2889,1337.0,1028.0,399.0,125.0
3,16419,17301,419255,1055780.0,1ST BANK & TRUST,Broken Bow,OK,74728,12/31/2016,8/17/2020,SM,710 S. Park Dr.,SOUTHEASTERN BANCSHARES INC,4,0,0,8,1,Mccurtain,,,5/6/1946,5/6/1946,3/19/2015,Stock,0,1,FED,DIF,Dallas,DALLAS,Tulsa,Kansas City,Southern,West,0,1,,17199.0,4077.0,10405.0,2716.0,0.0,9306,1350.0,6785.0,1171.0,0.0
4,4122,0,350657,,1ST BANK IN HOMINY,Hominy,OK,74035,12/31/2016,8/17/2020,SM,117 N. Price,,1,0,0,8,1,Osage,46140.0,"Tulsa, OK",4/12/1906,1/1/1934,12/22/2016,Stock,0,0,FED,DIF,Dallas,DALLAS,Tulsa,Kansas City,Southern,West,0,1,http://www.1stbankhominy.com,9896.0,2986.0,6220.0,445.0,245.0,6670,1726.0,4283.0,556.0,105.0
5,30367,5236,148470,3848427.0,1ST BANK OF SEA ISLE CITY,Sea Isle City,NJ,8243,12/31/2016,8/17/2020,SB,4301 Landis Ave.,SEA ISLE FINANCIAL CORP MHC,3,0,0,5,0,Cape May,36140.0,"Ocean City, NJ",1/1/1882,11/30/1948,9/19/2014,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,Philadelphia,Northeastern,Northeast,0,1,www.1stbankseaisle.com,16214.0,3088.0,6475.0,3617.0,3034.0,32147,25230.0,4918.0,1069.0,930.0
6,57298,0,3048487,3559844.0,1ST BANK YUMA,Yuma,AZ,85364,12/31/2016,8/17/2020,NM,2799 S. 4th Ave.,WESTERN ARIZONA BCORP INC,5,0,0,4,0,Yuma,49740.0,"Yuma, AZ",9/4/2001,9/4/2001,9/4/2015,Stock,0,0,FDIC,DIF,San Francisco,SAN FRANCISCO,Phoenix,San Francisco,Western,Western,0,1,http://www.1stbankyuma.com,14119.0,3571.0,6864.0,2448.0,1235.0,24200,8181.0,10826.0,2494.0,2699.0
7,32487,8322,941653,1064791.0,1ST CAMERON STATE BANK,Cameron,MO,64429,12/31/2016,8/17/2020,NM,124 S. Walnut,C&M BANCSHARES INC,2,0,0,8,0,Clinton,28140.0,"Kansas City, MO-KS",8/11/1986,8/11/1986,6/29/2009,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Kansas City,Kansas City,Western,West,0,1,www.1stcameron.com,6177.0,1542.0,3387.0,1046.0,202.0,4293,1657.0,526.0,1848.0,262.0
8,58485,0,3594797,,1ST CAPITAL BANK,Monterey,CA,93940,12/31/2016,8/17/2020,NM,"5 Harris Court, Bldg. N, # N",,5,0,0,4,0,Monterey,41500.0,"Salinas, CA",4/16/2007,4/16/2007,8/12/2015,Stock,0,0,FDIC,DIF,San Francisco,SAN FRANCISCO,San Francisco,San Francisco,Western,Western,0,1,www.1stcapital.bank,3541.0,1079.0,2121.0,341.0,0.0,9503,2847.0,6064.0,592.0,0.0
9,35456,0,2920773,3118513.0,1ST COLONIAL COMMUNITY BANK,Collingswood,NJ,8108,12/31/2016,8/17/2020,NM,1040 Haddon Ave.,1ST COLONIAL BCORP INC,3,0,0,4,0,Camden,37980.0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6/29/2000,6/29/2000,11/1/2012,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,Philadelphia,Northeastern,Northeast,0,1,http://www.1stcolonial.com,19981.0,6146.0,6073.0,5841.0,1921.0,49652,11031.0,15299.0,17679.0,5643.0
10,11706,12404,338945,1204083.0,1ST COMMUNITY BANK,Sherrard,IL,61281,12/31/2016,8/17/2020,NM,407 3rd St.,ILLINOIS HOLDING CO,2,0,0,2,1,Mercer,19340.0,"Davenport-Moline-Rock Island, IA-IL",1/1/1910,1/1/1934,10/15/2015,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Springfield Il,Chicago,Central,Central,0,1,http://www.1stcommunitybanks.com,11617.0,2378.0,4642.0,2888.0,1709.0,18433,6118.0,6661.0,3796.0,1858.0
11,27552,10064,1412619,2784920.0,1ST CONSTITUTION BANK,Cranbury,NJ,8512,12/31/2016,8/17/2020,NM,2650 Rt. 130,1ST CONSTITUTION BCORP,19,0,0,4,0,Middlesex,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",7/24/1989,7/24/1989,2/8/2014,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,www.1stconstitution.com,55418.0,10418.0,21424.0,17371.0,6205.0,92868,17726.0,36511.0,26431.0,12200.0
12,34393,0,2531562,2531553.0,1ST EQUITY BANK,Skokie,IL,60076,12/31/2016,8/17/2020,NM,3956 W. Dempster St.,FIRST EQUITY CORP,1,0,0,4,1,Cook,16980.0,"Chicago-Naperville-Elgin, IL-IN-WI",6/9/1997,6/9/1997,3/31/2006,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Chicago,Chicago,Central,Central,0,1,www.1stequitybank.net,10837.0,2761.0,6519.0,1391.0,166.0,19799,2901.0,14784.0,2114.0,0.0
13,57611,0,3203996,3203987.0,1ST EQUITY BANK NORTHWEST,Buffalo Grove,IL,60089,12/31/2016,8/17/2020,NM,1330 Dundee Rd.,NORTHWEST EQUITY CORP,1,0,0,4,1,Cook,16980.0,"Chicago-Naperville-Elgin, IL-IN-WI",10/15/2003,10/15/2003,3/31/2006,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Chicago,Chicago,Central,Central,0,1,,7787.0,1621.0,4740.0,1210.0,216.0,13348,2818.0,7891.0,2390.0,249.0
14,1673,0,526452,,1ST FINANCIAL BANK USA,Dakota Dunes,SD,57049,12/31/2016,8/17/2020,NM,331 N. Dakota Dunes Blvd.,,2,0,0,3,0,Union,43580.0,"Sioux City, IA-NE-SD",1/1/1910,1/1/1934,3/31/2006,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Sioux Falls,Minneapolis,Western,West,0,0,http://www.1fbusa.com,394511.0,4559.0,18381.0,32692.0,338879.0,79243,14268.0,45389.0,17587.0,1999.0
15,58548,0,3655081,,1ST MANATEE BANK,Bradenton,FL,34203,12/31/2016,8/17/2020,NM,900 53rd Ave E,,3,0,0,4,0,Manatee,35840.0,"North Port-Sarasota-Bradenton, FL",11/13/2007,11/13/2007,10/18/2016,Stock,0,0,FDIC,DIF,Atlanta,ATLANTA,Tampa,Atlanta,Southern,Southeast,0,1,,28226.0,10730.0,11771.0,3280.0,2445.0,40356,19429.0,14014.0,3262.0,3651.0
16,6646,8805,480723,,1ST NATIONAL BANK,Lebanon,OH,45036,12/31/2016,8/17/2020,N,730 E. Main St.,,10,0,0,4,1,Warren,17140.0,"Cincinnati, OH-KY-IN",1/1/1907,1/1/1934,11/1/2012,Stock,0,0,OCC,DIF,Chicago,CHICAGO,Cincinnati,Cleveland,Central,Central,0,1,WWW.BANKWITH1ST.COM,18404.0,2341.0,9380.0,5299.0,1384.0,31730,3792.0,17922.0,7690.0,2326.0
17,57633,0,1018927,4347208.0,1ST SECURITY BANK OF WASHINGTON,Mountlake Terrac,WA,98043,12/31/2016,8/17/2020,SB,"6920 220th St. Sw, # 300",FS BCORP INC,12,0,0,4,0,Snohomish,42660.0,"Seattle-Tacoma-Bellevue, WA",4/1/2004,4/1/2004,1/23/2016,Stock,0,0,FDIC,DIF,San Francisco,SAN FRANCISCO,Seattle,San Francisco,Western,West,0,1,WWW.FSBWA.com,93791.0,10798.0,30115.0,33797.0,19081.0,101926,7121.0,35942.0,47336.0,11527.0
18,9087,10250,991340,1199602.0,1ST SOURCE BANK,South Bend,IN,46601,12/31/2016,8/17/2020,SM,"100 N. Michigan St, # B",1ST SOURCE CORP,84,0,1,4,0,St Joseph,43780.0,"South Bend-Mishawaka, IN-MI",1/1/1922,1/1/1934,12/31/2015,Stock,0,1,FED,DIF,Chicago,CHICAGO,Indianapolis,Chicago,Central,Central,0,1,www.1stsource.com,479244.0,79559.0,182029.0,173923.0,43733.0,564428,109299.0,197314.0,195620.0,62195.0
19,57626,0,3223305,3223293.0,1ST STATE BANK,Saginaw,MI,48604,12/31/2016,8/17/2020,NM,"4800 Fashion Sq. Blvd, # 100",1ST STATE FINANCIAL LTD,4,0,0,4,0,Saginaw,40980.0,"Saginaw, MI",4/12/2004,4/12/2004,8/19/2013,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Detroit,Chicago,Central,Central,0,1,www.1ststatebk.com,9089.0,2867.0,3793.0,1712.0,717.0,13523,6853.0,5378.0,1292.0,0.0
20,22543,14261,170640,3070152.0,1ST STATE BANK OF MASON CITY,Mason City,IL,62664,12/31/2016,8/17/2020,NM,123 W. Elm St.,FIRSTATE BCORP INC,1,0,0,8,1,Mason,,,11/1/1977,11/1/1977,3/31/2006,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Springfield Il,Chicago,Central,Central,0,1,www.1ststatebankmc.com,6321.0,1305.0,2765.0,1603.0,648.0,3192,1045.0,1119.0,800.0,228.0
21,8426,10595,526519,1830240.0,1ST SUMMIT BANK,Johnstown,PA,15904,12/31/2016,8/17/2020,NM,125 Donald Ln.,1ST SUMMIT BCORP JOHNSTOWN INC,16,0,0,5,0,Cambria,27780.0,"Johnstown, PA",1/1/1924,1/1/1934,1/5/2016,Stock,0,1,FDIC,DIF,New York,NEW YORK,Wexford,Philadelphia,Northeastern,Northeast,0,1,http://www.1stsummit.bank,227510.0,47487.0,66205.0,87041.0,26777.0,134008,26917.0,41065.0,46332.0,19694.0
22,57869,0,3309393,,"1ST TRUST BANK, INC.",Hazard,KY,41701,12/31/2016,8/17/2020,NM,24 Commerce Dr.,,4,0,0,4,0,Perry,,,12/13/2004,12/13/2004,3/31/2006,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Lexington,Cleveland,Central,Southeast,0,1,https://www.1tbi.com,31515.0,10869.0,13617.0,5580.0,1449.0,93966,12226.0,64469.0,12620.0,4651.0
23,31249,6607,350572,4498726.0,1ST UNITED BANK,Faribault,MN,55021,12/31/2016,8/17/2020,NM,430 4th St Nw,J&B FINANCIAL HOLDINGS INC,2,0,0,4,1,Rice,,,1/1/1920,12/18/1961,2/13/2012,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Minneapolis,Minneapolis,Central,West,0,1,www.1stunited.com,11987.0,3003.0,7031.0,1953.0,0.0,5303,1563.0,3136.0,604.0,0.0
24,9751,0,340256,3304352.0,21ST CENTURY BANK,Loretto,MN,55357,12/31/2016,8/17/2020,NM,699 N. Medina St.,DOLPHIN FAMILY MANAGEMENT CO,7,0,0,4,0,Hennepin,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",6/2/1917,1/1/1934,3/31/2006,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Minneapolis,Minneapolis,Central,West,0,1,http://www.21stcenturybank.com,96813.0,28458.0,24968.0,41740.0,1647.0,354,0.0,0.0,246.0,108.0
25,91005,0,455253,4754758.0,5STAR BANK,Colorado Springs,CO,80914,12/31/2016,8/17/2020,NM,"Peterson Air Force Base, 455",LITTLE LONDON BCORP,4,0,0,4,0,El Paso,17820.0,"Colorado Springs, CO",6/10/1980,11/5/1985,8/23/2013,Stock,0,0,FDIC,DIF,Dallas,DALLAS,Denver,Kansas City,Western,Western,0,1,http://www.5star.bank,11461.0,2535.0,5940.0,2424.0,562.0,27904,5740.0,12508.0,5627.0,4029.0
26,27831,358,671370,4523459.0,A J SMITH FEDERAL SAVINGS BANK,Midlothian,IL,60445,12/31/2016,8/17/2020,SA,14757 S Cicero Ave,AJS BCORP INC,3,0,0,5,0,Cook,16980.0,"Chicago-Naperville-Elgin, IL-IN-WI",1/1/1924,12/3/1934,7/21/2011,Stock,0,0,OCC,DIF,Chicago,CHICAGO,Chicago,Chicago,Central,Central,0,1,,30674.0,5276.0,11685.0,7709.0,6004.0,21445,2177.0,8846.0,5467.0,4955.0
27,35029,0,2775151,2775142.0,AB&T,Albany,GA,31708,12/31/2016,8/17/2020,NM,2815 Meredyth Dr.,COMMUNITY CAPITAL BANCSHARES,4,0,0,4,0,Dougherty,10500.0,"Albany, GA",4/28/1999,4/28/1999,12/31/2016,Stock,0,0,FDIC,DIF,Atlanta,ATLANTA,Albany Ga,Atlanta,Southern,Southeast,0,1,www.abtgold.com,7999.0,1597.0,4201.0,1928.0,272.0,9507,1964.0,5815.0,1416.0,312.0
28,32257,8059,762773,,ABACUS FEDERAL SAVINGS BANK,New York,NY,10013,12/31/2016,8/17/2020,SA,6 Bowery,,6,0,1,4,0,New York,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",11/29/1984,11/29/1984,2/23/2012,Stock,0,0,OCC,DIF,New York,NEW YORK,New York City,New York,Northeastern,Northeast,0,1,www.abacusbank.com,56425.0,12488.0,5532.0,38124.0,281.0,10902,3353.0,5284.0,2016.0,249.0
29,30332,5179,114774,,ABBEVILLE BUILDING & LOAN (A STATE-CHARTERED SAVINGS BANK),Abbeville,LA,70510,12/31/2016,8/17/2020,SB,1212 Charity St.,,1,0,0,8,0,Vermilion,29180.0,"Lafayette, LA",1/1/1890,8/9/1948,3/31/2006,Non-Stock,0,0,FDIC,DIF,Dallas,DALLAS,Baton Rouge,Atlanta,Southern,Western,0,1,www.abbemae.com,8993.0,1818.0,3971.0,2917.0,287.0,8021,2038.0,3464.0,2519.0,0.0
30,30619,5642,416272,,"ABBEVILLE FIRST BANK, SSB",Abbeville,SC,29620,12/31/2016,8/17/2020,SB,205 S. Main St,,2,0,0,5,0,Abbeville,,,1/1/1907,5/11/1953,10/17/2013,Non-Stock,0,0,FDIC,DIF,Atlanta,ATLANTA,Columbia Sc,Richmond,Northeastern,Southeast,0,1,http://www.abbevillefirst.com,16598.0,3210.0,6035.0,6980.0,373.0,12886,3724.0,3138.0,5478.0,546.0
31,19795,16035,198149,3612794.0,ABBYBANK,Abbotsford,WI,54405,12/31/2016,8/17/2020,NM,401 E. Spruce St.,ABBY BCORP INC,6,0,0,2,0,Marathon,48140.0,"Wausau, WI",3/1/1968,3/1/1968,9/1/2016,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Eau Claire,Chicago,Central,Central,0,1,www.abbybank.com,69154.0,18408.0,25071.0,21174.0,4501.0,71869,17258.0,29195.0,18292.0,7124.0
32,11694,11442,4839,1143641.0,ABC BANK,Chicago,IL,60644,12/31/2016,8/17/2020,NM,5645 W. Lake St.,GREATER CHICAGO FINANCIAL CORP,5,0,0,4,1,Cook,16980.0,"Chicago-Naperville-Elgin, IL-IN-WI",6/10/1891,1/1/1934,6/1/2012,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Chicago,Chicago,Central,Central,0,1,,26566.0,7492.0,14598.0,4459.0,17.0,85919,29897.0,42402.0,13123.0,497.0
33,26549,0,117672,,ABINGTON BANK,Abington,MA,2351,12/31/2016,8/17/2020,SM,6 Harrison Ave.,,1,0,0,4,0,Plymouth,14460.0,"Boston-Cambridge-Newton, MA-NH",1/1/1888,2/12/1986,10/21/2008,Non-Stock,0,0,FED,DIF,New York,NEW YORK,South Boston,Boston,Northeastern,Northeast,0,1,,15116.0,2672.0,5597.0,4993.0,1854.0,10258,1860.0,3481.0,3213.0,1704.0
34,19600,0,535753,2107707.0,"ACADEMY BANK, NATIONAL ASSOCIATION",Colorado Springs,CO,80920,12/31/2016,8/17/2020,N,2835 Briargate Blvd.,DICKINSON FINANCIAL CORP II,78,0,1,4,0,El Paso,17820.0,"Colorado Springs, CO",6/15/1966,6/15/1966,6/19/2015,Stock,0,0,OCC,DIF,Dallas,KANSAS CITY,Kansas City,Kansas City,Western,Western,0,0,www.academybank.com,154466.0,30322.0,92475.0,26634.0,5035.0,208327,37381.0,124980.0,42518.0,3448.0
35,4061,13760,266253,1055708.0,ACB BANK,Cherokee,OK,73728,12/31/2016,8/17/2020,NM,323 S Grand St.,ALFALFA COUNTY BANCSHARES INC,3,0,0,2,1,Alfalfa,,,1/29/1908,1/1/1934,5/13/2015,Stock,0,0,FDIC,DIF,Dallas,DALLAS,Oklahoma City,Kansas City,Southern,West,0,1,www.acbbank.net,5554.0,1146.0,2887.0,1111.0,410.0,40429,6128.0,12214.0,14035.0,8052.0
36,58727,0,3614837,3637939.0,ACCESS BANK,Omaha,NE,68114,12/31/2016,8/17/2020,NM,8712 W. Dodge Rd.,3MV BCORP INC,5,0,0,4,0,Douglas,36540.0,"Omaha-Council Bluffs, NE-IA",12/10/2007,12/10/2007,12/17/2012,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Omaha,Kansas City,Western,Western,0,1,WWW.ACCESSBANK.COM,15968.0,1110.0,4719.0,8732.0,1407.0,48732,4190.0,21733.0,21352.0,1457.0
37,35189,0,2859903,3109904.0,ACCESS NATIONAL BANK,Reston,VA,20191,12/31/2016,8/17/2020,N,"1800 Robert Fulton Drive, #",ACCESS NATIONAL CORP,6,0,0,4,0,Fairfax,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",12/1/1999,12/1/1999,3/31/2006,Stock,0,0,OCC,DIF,Atlanta,ATLANTA,Richmond,Richmond,Northeastern,Southeast,0,1,,79845.0,5152.0,35365.0,35078.0,4250.0,171862,15097.0,103925.0,40507.0,12333.0
38,58562,0,3535848,4556381.0,ACCESSBANK TEXAS,Denton,TX,76201,12/31/2016,8/17/2020,NM,"320 W. Eagle Drive, # 100",ACCESS BCORP INC,4,0,0,4,0,Denton,19100.0,"Dallas-Fort Worth-Arlington, TX",10/22/2007,10/22/2007,5/16/2016,Stock,0,0,FDIC,DIF,Dallas,DALLAS,Dallas,Dallas,Southern,West,0,1,http://WWW.ACCESSBANKTX.COM,32756.0,8143.0,12312.0,10576.0,1725.0,72189,9189.0,34960.0,24452.0,3588.0
39,7506,12499,5210,1117464.0,ACNB BANK,Gettysburg,PA,17325,12/31/2016,8/17/2020,NM,16 Lincoln Sq.,ACNB CORP,22,0,0,4,0,Adams,23900.0,"Gettysburg, PA",4/11/1857,1/1/1934,2/7/2011,Stock,0,1,FDIC,DIF,New York,NEW YORK,Harrisburg,Philadelphia,Northeastern,Northeast,0,1,http://www.acnb.com,154389.0,28095.0,61454.0,62213.0,2627.0,87504,12565.0,43394.0,31090.0,455.0
40,18489,12279,463650,5006472.0,ADAMS BANK & TRUST,Ogallala,NE,69153,12/31/2016,8/17/2020,SM,315 N. Spruce St.,ADAGE LLC,19,0,1,2,0,Keith,,,2/26/1962,2/26/1962,3/31/2006,Stock,0,1,FED,DIF,Kansas City,KANSAS CITY,Grand Island,Kansas City,Western,Western,0,1,http://www.abtbank.com,73459.0,13406.0,21756.0,31698.0,6599.0,95790,13143.0,26972.0,43873.0,11802.0
41,90140,12033,343903,,ADAMS COMMUNITY BANK,Adams,MA,1220,12/31/2016,8/17/2020,SB,2 Ctr. St.,,8,0,0,5,0,Berkshire,38340.0,"Pittsfield, MA",5/1/1869,7/24/1985,1/1/2016,Non-Stock,0,1,FDIC,DIF,New York,NEW YORK,Springfield Ma,Boston,Northeastern,Northeast,0,1,www.adamscommunity.com,70009.0,13391.0,25823.0,22456.0,8339.0,47566,7187.0,12974.0,20068.0,7337.0
42,14311,0,9553,1053870.0,ADAMS COUNTY BANK,Kenesaw,NE,68956,12/31/2016,8/17/2020,NM,401 N. Smith Ave.,FIRST KENESAW CO,2,0,0,2,1,Adams,,,1/1/1878,1/1/1934,6/1/2010,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Grand Island,Kansas City,Western,Western,0,1,http://www.adamscountybank.net,15655.0,4528.0,6751.0,4374.0,1.0,31227,10592.0,7459.0,12927.0,249.0
43,32304,8120,312570,,ADAMS COUNTY BUILDING AND LOAN COMPANY,West Union,OH,45693,12/31/2016,8/17/2020,SA,201 W. Main St.,,2,0,0,2,0,Adams,,,1/22/1907,4/4/1985,1/4/2012,Non-Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Cincinnati,Cleveland,Central,Central,0,1,,7397.0,810.0,3921.0,2577.0,89.0,5090,1159.0,2571.0,1258.0,102.0
44,58697,18056,3603765,4564724.0,ADAMS DAIRY BANK,Blue Springs,MO,64014,12/31/2016,8/17/2020,NM,651 Ne Coronado Dr.,ADAMS DAIRY BANCSHARES INC,1,0,0,4,0,Jackson,28140.0,"Kansas City, MO-KS",1/3/2008,1/3/2008,3/3/2014,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Kansas City,Kansas City,Western,West,0,1,,6532.0,886.0,1838.0,2544.0,1263.0,25714,4054.0,8827.0,8653.0,4180.0
45,9812,0,332756,,ADAMS STATE BANK,Adams,NE,68301,12/31/2016,8/17/2020,NM,649 Main St.,,1,0,0,2,1,Gage,,,1/18/1918,1/1/1934,3/31/2006,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Omaha,Kansas City,Western,Western,0,1,www.adamsstate.com,6377.0,1005.0,2535.0,2338.0,499.0,5897,511.0,1652.0,2385.0,1349.0
46,28380,1473,101671,2467474.0,ADIRONDACK BANK,Utica,NY,13501,12/31/2016,8/17/2020,SM,185 Genesee St.,ADIRONDACK BCORP INC,18,0,0,4,0,Oneida,46540.0,"Utica-Rome, NY",1/1/1898,1/25/1936,1/1/2014,Stock,0,0,FED,DIF,New York,NEW YORK,Syracuse,New York,Northeastern,Northeast,0,1,www.adirondackbank.com,32810.0,7060.0,17387.0,5872.0,2491.0,106103,42721.0,48431.0,13239.0,1712.0
47,27015,13964,541307,4184177.0,ADMIRALS BANK,Boston,MA,2116,12/31/2016,8/17/2020,SA,579 Boylston St.,LAZARES&COMPANY LLC,2,0,1,4,0,Suffolk,14460.0,"Boston-Cambridge-Newton, MA-NH",1/1/1967,7/20/1987,6/28/2013,Stock,0,0,OCC,DIF,New York,NEW YORK,South Boston,Boston,Northeastern,Northeast,0,1,www.ethicwealthbank.com,60881.0,1741.0,5339.0,51978.0,1823.0,137072,18283.0,67441.0,27966.0,23382.0
48,8251,0,94858,1399505.0,ADRIAN BANK,Adrian,MO,64720,12/31/2016,8/17/2020,SM,130 E. Main St.,ADRIAN BANCSHARES INC,3,0,0,2,1,Bates,28140.0,"Kansas City, MO-KS",10/18/1932,1/1/1934,1/1/2012,Stock,0,0,FED,DIF,Kansas City,KANSAS CITY,Kansas City,Kansas City,Western,West,0,1,www.adrianbank.com,28173.0,6833.0,14415.0,4798.0,2127.0,14675,2723.0,8161.0,1432.0,2359.0
49,8822,0,293352,1125254.0,ADRIAN STATE BANK,Adrian,MN,56110,12/31/2016,8/17/2020,NM,322 Maine Ave.,ADRIAN BUILDING CORP,1,0,0,2,1,Nobles,,,10/23/1889,1/1/1934,3/31/2006,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Sioux Falls,Minneapolis,Central,West,0,1,www.adrianstatebank.com,6840.0,1380.0,3396.0,1318.0,746.0,4388,2829.0,969.0,106.0,484.0
50,18152,15877,438050,1066928.0,ADVANTAGE BANK,Oklahoma City,OK,73141,12/31/2016,8/17/2020,NM,8001 Ne 23rd St.,SPENCER BANCSHARES INC,2,0,0,4,1,Oklahoma,36420.0,"Oklahoma City, OK",11/17/1913,2/15/1960,8/14/2015,Stock,0,0,FDIC,DIF,Dallas,DALLAS,Oklahoma City,Kansas City,Southern,West,0,1,,3308.0,826.0,1521.0,885.0,76.0,2077,574.0,1402.0,101.0,0.0
51,57072,0,2927615,,ADVANTAGE BANK,Loveland,CO,80538,12/31/2016,8/17/2020,NM,1475 N. Denver Ave.,,4,0,0,4,0,Larimer,22660.0,"Fort Collins, CO",9/21/2000,9/21/2000,6/14/2016,Stock,0,0,FDIC,DIF,Dallas,KANSAS CITY,Denver,Kansas City,Western,Western,0,1,,35170.0,2926.0,21855.0,9872.0,517.0,87593,10722.0,53050.0,22128.0,1693.0
52,10375,14584,189549,3155273.0,ADVANTAGE COMMUNITY BANK,Dorchester,WI,54425,12/31/2016,8/17/2020,NM,101 W Business County Rd. A,ADVANTAGE CMTY BANCSHARES INC,4,0,0,4,0,Clark,,,8/9/1906,1/1/1934,7/1/2016,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Eau Claire,Chicago,Central,Central,0,1,www.advantagecommunity.com,19175.0,3089.0,7728.0,6346.0,2012.0,9731,1172.0,2926.0,2282.0,3351.0
53,34885,14544,965789,3823291.0,AFFILIATED BANK,Bedford,TX,76021,12/31/2016,8/17/2020,SA,500 Harwood Rd.,BANCAFFILIATED INC,4,0,0,4,0,Tarrant,19100.0,"Dallas-Fort Worth-Arlington, TX",1/1/1959,6/1/1998,7/21/2011,Stock,0,0,OCC,DIF,Dallas,DALLAS,Dallas,Dallas,Southern,West,0,1,www.affiliatedbank.com,14475.0,2852.0,8381.0,3207.0,35.0,276905,93871.0,152911.0,30020.0,103.0
54,57264,0,3118447,3118456.0,AFFINITY BANK,Atlanta,GA,30328,12/31/2016,8/17/2020,NM,"5660 New Northside Drive, #",ABB FINANCIAL GROUP INC,1,0,0,4,0,Fulton,12060.0,"Atlanta-Sandy Springs-Roswell, GA",9/3/2002,9/3/2002,9/28/2010,Stock,0,0,FDIC,DIF,Atlanta,NEW YORK,Atlanta,Atlanta,Southern,Southeast,0,1,,1824.0,313.0,475.0,946.0,90.0,60396,3818.0,19087.0,37041.0,450.0
55,35267,14939,2909330,1562176.0,AIG FEDERAL SAVINGS BANK,Wilmington,DE,19809,12/31/2016,8/17/2020,SA,"503 Carr Rd, # 130",AMERICAN INTL GROUP INC,1,0,0,5,0,New Castle,37980.0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",5/15/2000,5/15/2000,12/15/2014,Stock,0,1,OCC,DIF,New York,NEW YORK,Claymont,Philadelphia,Northeastern,Northeast,0,0,,0.0,0.0,0.0,0.0,0.0,500,500.0,0.0,0.0,0.0
